93,Vallejo Ferry Terminal,495 Mare Island Way,Vallejo,CA,94590,US,Non-Networked,,
94,Los Angeles International Airport (LAX) - Lot 1,1 World Way,Los Angeles,CA,90045,US,Non-Networked,J1772,
95,SAN JOSE,44 S 4th St,San Jose,CA,95112,US,ChargePoint Network,J1772,
96,City of Lacey - City Hall Parking,420 College St,Lacey,WA,98503,US,Non-Networked,NEMA520,
97,City of Lake Oswego,209 A Ave,Lake Oswego,OR,97034,US,Non-Networked,J1772,
98,Oregon Museum of Science and Industry (OMSI) - South Parking Lot,1945 SE Water Ave,Portland,OR,97214,US,Non-Networked,J1772 NEMA515,SOLAR
99,City of Ukiah - Public Parking Lot,N Oak St & W Standley St,Ukiah,CA,95482,US,Non-Networked,J1772,
100,Nut Tree Village,1651 E Monte Vista Ave,Vacaville,CA,95688,US,Non-Networked,J1772 NEMA515,
101,Placer County Community Development Resource Center,3091 County Center Dr,Auburn,CA,95603,US,Non-Networked,J1772,
102,4th and G Plaza Public Parking Garage,4th St & G St,Davis,CA,95616,US,Non-Networked,J1772,
103,Davis Amtrak Station,840 2nd St,Davis,CA,95616,US,Non-Networked,J1772,
104,University of California - Davis,6 Howard Way,Davis,CA,95616,US,Non-Networked,J1772 NEMA520,
105,University Covenant Church,315 Mace Blvd,Davis,CA,95618,US,Non-Networked,J1772,
106,Wildhorse Golf Club,2323 Rockwell Dr,Davis,CA,95618,US,Non-Networked,J1772,
107,Ciudad del Rey Motel & Trailer Park,50557 Wild Horse Rd,King City,CA,93930,US,Non-Networked,,
108,Lakewood Center Mall,4500 Silva St,Lakewood,CA,90712,US,Non-Networked,J1772,
109,Golden Gate Ferry Terminal,101 E Sir Francis Drake Blvd,Larkspur,CA,94939,US,Non-Networked,J1772,
110,Oakland International Airport - Daily Lot,1 Airport Dr,Oakland,CA,94621,US,Non-Networked,J1772,
111,CCSF SFMTA,733 Kearny St,San Francisco,CA,94108,US,ChargePoint Network,J1772,
112,Seattle-Tacoma International Airport - General Parking,17801 Pacific Hwy S,Seattle,WA,98188,US,Non-Networked,NEMA520,
113,SAN JOSE,200 E Santa Clara St,San Jose,CA,95113,US,ChargePoint Network,J1772,
114,City of Champaign - Hill Street Parking Deck,123 W Hill St,Champaign,IL,61820,US,Non-Networked,J1772,
115,Discovery Center of Idaho,131 W Myrtle St,Boise,ID,83702,US,Non-Networked,J1772,
116,Travis Park United Methodist Church,230 E Travis St,San Antonio,TX,78205,US,Non-Networked,NEMA520,
117,City of Keizer - City Hall,930 Chemawa Rd NE,Salem,OR,97303,US,Non-Networked,NEMA520,
118,Shorenstein Realty,5500 SW Meadows Rd,Lake Oswego,OR,97035,US,Non-Networked,NEMA520,
119,Stoller Family Estate,16161 NE McDougall Rd,Dayton,OR,97114,US,Non-Networked,J1772,SOLAR
120,PUBLIC STATIONS,1075 E 20th St,Chico,CA,95928,US,ChargePoint Network,J1772,
121,Fairfield Transportation Center,2000 Cadenasso Dr,Fairfield,CA,94533,US,Non-Networked,J1772,
122,SOLAR SOURCE,10840 Endeavour Way,Seminole,FL,33777,US,ChargePoint Network,NEMA520,
123,METRO NASHVILLE,800 2nd Ave S,Nashville,TN,37210,US,ChargePoint Network,J1772,
124,I-64 West Rest Stop,I-64 W and VA-155,New Kent,VA,23140,US,Non-Networked,NEMA520,
125,LINCOLN CITY,1226 SW 50th St,Lincoln City,OR,97367,US,ChargePoint Network,J1772 NEMA520,
126,IRON EAGLE TECH,4038 Main St,Elk Horn,IA,51531,US,ChargePoint Network,J1772 NEMA520,
127,OUC,100 W Anderson St,Orlando,FL,32801,US,ChargePoint Network,CHADEMO J1772 NEMA520,
128,PUBLIC STATIONS,1221 Williamson St,Madison,WI,53703,US,ChargePoint Network,J1772,
129,Haggen Food & Pharmacy,1313 Cooper Point Rd SW,Olympia,WA,98502,US,Non-Networked,NEMA520,
130,Rabobank - Salinas,1285 N Davis Rd,Salinas,CA,93907,US,Non-Networked,J1772,
131,Cool Roof Store,575 Cooke St,Honolulu,HI,96813,US,Non-Networked,,
132,DTE ENERGY,1 Energy Plaza,Detroit,MI,48226,US,ChargePoint Network,J1772 NEMA520,
133,LBCC,Ellingson Rd SW,Albany,OR,97321,US,ChargePoint Network,J1772,
134,LINCOLN CITY,1601 NE 15th St,Lincoln City,OR,97367,US,ChargePoint Network,J1772 NEMA520,
135,CITY OF HOUSTON,8000 N Stadium Dr,Houston,TX,77054,US,ChargePoint Network,NEMA520,
136,ELEMENT HOTELS,3550 Interstate 635,Irving,TX,75063,US,ChargePoint Network,NEMA520,
137,Home Depot,1551 Froom Ranch Way,San Luis Obispo,CA,93405,US,Non-Networked,J1772,
138,San Luis Obispo Promenade - Bed Bath & Beyond,319 Madonna Rd,San Luis Obispo,CA,93401,US,Non-Networked,J1772,
139,Avista Corp,1411 E Mission Ave,Spokane,WA,99252,US,Non-Networked,J1772 NEMA520,
140,Steam Plant Grill,159 S Lincoln St,Spokane,WA,99201,US,Non-Networked,J1772,
141,Kum & Go #4110,2110 Guthrie Ave,Des Moines,IA,50317,US,Non-Networked,J1772,
142,Kum & Go #570,5800 Northglenn Dr,Johnston,IA,50131,US,Non-Networked,J1772,
143,Kwik Trip #465,9250 Springbrook Dr NW,Coon Rapids,MN,55433,US,Non-Networked,NEMA520,
